network_id,ssid,bssid,scan_id,timestamp,channel,frequency,mean_rssi,strongest_rssi,observation_count,latitude,longitude,matched_access_points,residual_rmse,confidence_score,estimated_radius_m
#BBBankFree.Wifi.Plus | 78:9a:18:98:04:53,#BBBankFree.Wifi.Plus,78:9a:18:98:04:53,scan_445,2026-04-08 13:41:00,5.0,2432.0,-79.0,-79,1,48.89081410920254,8.70155735165408,5.0,7.699327906550997,0.6494073327810514,13.593563908785255
#BBBankFree.Wifi.Plus | 78:9a:18:98:04:54,#BBBankFree.Wifi.Plus,78:9a:18:98:04:54,scan_443,2026-04-08 13:40:51,40.0,5200.0,-88.0,-88,1,48.89081140271923,8.701517178379742,14.0,14.552922101805114,0.9620061113543286,27.12272579332028
#BBBankFree.Wifi.Plus | 78:9a:18:98:04:54,#BBBankFree.Wifi.Plus,78:9a:18:98:04:54,scan_445,2026-04-08 13:41:00,40.0,5200.0,-79.0,-79,1,48.89081410920254,8.70155735165408,5.0,7.699327906550997,0.6494073327810514,13.593563908785255
#BBBankFree.Wifi.Plus | 78:9a:18:9e:0a:70,#BBBankFree.Wifi.Plus,78:9a:18:9e:0a:70,scan_281,2026-04-08 13:25:52,108.0,5540.0,-92.0,-92,1,48.891178620880325,8.701770579071047,10.0,7.912981852666032,1.263746105601242,36.869450645195755
#BBBankFree.Wifi.Plus | 78:9a:18:9e:0a:70,#BBBankFree.Wifi.Plus,78:9a:18:9e:0a:70,scan_436,2026-04-08 13:40:10,108.0,5540.0,-95.0,-95,1,,,,,,46.4158883361278
#BBBankFree.Wifi.Plus | 78:9a:18:9e:0a:70,#BBBankFree.Wifi.Plus,78:9a:18:9e:0a:70,scan_437,2026-04-08 13:40:19,108.0,5540.0,-87.0,-87,1,48.8908618005904,8.701056250009247,10.0,24.275514568842816,0.4119377149201533,25.118864315095795
#BBBankFree.Wifi.Plus | 78:9a:18:9e:0a:70,#BBBankFree.Wifi.Plus,78:9a:18:9e:0a:70,scan_457,2026-04-08 13:42:43,108.0,5540.0,-81.0,-81,1,,,,,,15.848931924611133
-= R1zZLa =- | b8:a5:35:11:aa:30,-= R1zZLa =-,b8:a5:35:11:aa:30,scan_576,2026-04-08 14:01:42,11.0,2462.0,-80.0,-80,1,,,,,,14.677992676220699
-= R1zZLa =- | b8:a5:35:11:aa:38,-= R1zZLa =-,b8:a5:35:11:aa:38,scan_576,2026-04-08 14:01:42,64.0,5320.0,-84.0,-84,1,,,,,,19.952623149688797
-= R1zZLa =- | b8:a5:35:11:aa:38,-= R1zZLa =-,b8:a5:35:11:aa:38,scan_577,2026-04-08 14:01:51,64.0,5320.0,-79.0,-79,1,,,,,,13.593563908785255
-Müller-FreeWifi- | e4:dc:cc:a1:3c:d6,-Müller-FreeWifi-,e4:dc:cc:a1:3c:d6,scan_57,2026-04-08 12:50:24,36.0,5180.0,-89.0,-89,1,48.889341331313176,8.698251847841052,5.0,5.644954910056563,0.8857466675406801,29.286445646252357
-Müller-FreeWifi- | e4:dc:cc:a1:3c:d6,-Müller-FreeWifi-,e4:dc:cc:a1:3c:d6,scan_545,2026-04-08 13:56:31,36.0,5180.0,-88.0,-88,1,48.88960194283101,8.6981251374932,3.0,12.698516418554995,0.23624807033492656,27.12272579332028
-REWE gratis WLAN- | 1c:30:03:5d:bd:80,-REWE gratis WLAN-,1c:30:03:5d:bd:80,scan_112,2026-04-08 12:58:35,9.0,2452.0,-82.0,-82,1,,,,,,17.11328304161781
183z692t833a396e | e4:dc:cc:a1:3c:d0,183z692t833a396e,e4:dc:cc:a1:3c:d0,scan_545,2026-04-08 13:56:31,36.0,5180.0,-89.0,-89,1,48.88960194283101,8.6981251374932,3.0,12.698516418554995,0.23624807033492656,29.286445646252357
202v202o202i202p | e4:dc:cc:a1:3c:d1,202v202o202i202p,e4:dc:cc:a1:3c:d1,scan_545,2026-04-08 13:56:31,36.0,5180.0,-89.0,-89,1,48.88960194283101,8.6981251374932,3.0,12.698516418554995,0.23624807033492656,29.286445646252357
202v202o202i202p-PSK | e4:dc:cc:a1:3c:d9,202v202o202i202p-PSK,e4:dc:cc:a1:3c:d9,scan_57,2026-04-08 12:50:24,36.0,5180.0,-86.0,-86,1,48.889341331313176,8.698251847841052,5.0,5.644954910056563,0.8857466675406801,23.263050671536263
202v202o202i202p-PSK | e4:dc:cc:a1:3c:d9,202v202o202i202p-PSK,e4:dc:cc:a1:3c:d9,scan_543,2026-04-08 13:56:22,36.0,5180.0,-91.0,-91,1,48.889440327892295,8.698107889735086,5.0,6.6693123044855005,0.7497024838133924,34.14548873833603
202v202o202i202p-PSK | e4:dc:cc:a1:3c:d9,202v202o202i202p-PSK,e4:dc:cc:a1:3c:d9,scan_546,2026-04-08 13:56:40,36.0,5180.0,-86.0,-86,1,48.888924527542855,8.69933876535997,6.0,229.73301002507694,0.026117274132024207,23.263050671536263
202v202o202i202p-PSK | e4:dc:cc:a2:00:09,202v202o202i202p-PSK,e4:dc:cc:a2:00:09,scan_57,2026-04-08 12:50:24,36.0,5180.0,-90.0,-90,1,48.889341331313176,8.698251847841052,5.0,5.644954910056563,0.8857466675406801,31.622776601683793
404f404r404g404w | e4:dc:cc:a1:3c:d3,404f404r404g404w,e4:dc:cc:a1:3c:d3,scan_545,2026-04-08 13:56:31,36.0,5180.0,-88.0,-88,1,48.88960194283101,8.6981251374932,3.0,12.698516418554995,0.23624807033492656,27.12272579332028
AAWireless-d2e569f8 | 7a:00:04:e6:41:dc,AAWireless-d2e569f8,7a:00:04:e6:41:dc,scan_61,2026-04-08 12:51:01,36.0,5180.0,-85.0,-85,1,,,,,,21.544346900318832
AAWireless-d2e569f8 | 7a:00:04:e6:41:dc,AAWireless-d2e569f8,7a:00:04:e6:41:dc,scan_62,2026-04-08 12:51:10,36.0,5180.0,-66.0,-66,1,,,,,,5.011872336272722
AG2018 | 3e:a6:2f:25:77:a2,AG2018,3e:a6:2f:25:77:a2,scan_213,2026-04-08 13:14:42,52.0,5260.0,-90.0,-90,1,48.891375181635986,8.700528598569974,12.0,11.55679160564761,1.0383504703966282,31.622776601683793
AGP Gaeste | 8e:5a:1c:33:f0:0b,AGP Gaeste,8e:5a:1c:33:f0:0b,scan_189,2026-04-08 13:12:39,11.0,2462.0,-74.0,-74,1,48.89149656003552,8.699653239922208,12.0,3.518418217974478,3.4106235406285195,9.261187281287935
AGP Gaeste | 8e:5a:1c:33:f0:13,AGP Gaeste,8e:5a:1c:33:f0:13,scan_165,2026-04-08 13:10:39,44.0,5220.0,-89.0,-89,1,48.891256674605046,8.699517101570683,17.0,4.798411059734762,3.5428394500532217,29.286445646252357
AGP Gaeste | 8e:5a:1c:33:f0:13,AGP Gaeste,8e:5a:1c:33:f0:13,scan_169,2026-04-08 13:11:00,44.0,5220.0,-83.0,-83,1,48.89147262711838,8.699430256749217,5.0,2.834049407449125,1.7642599973231965,18.478497974222908
AGP Gaeste | 8e:5a:1c:33:f0:13,AGP Gaeste,8e:5a:1c:33:f0:13,scan_189,2026-04-08 13:12:39,44.0,5220.0,-77.0,-77,1,48.89149656003552,8.699653239922208,12.0,3.518418217974478,3.4106235406285195,11.659144011798316
AGP Gaeste | da:4f:86:98:e8:d4,AGP Gaeste,da:4f:86:98:e8:d4,scan_177,2026-04-08 13:11:36,36.0,5180.0,-90.0,-90,1,,,,,,31.622776601683793
AGP Intern | 7c:5a:1c:33:e6:4f,AGP Intern,7c:5a:1c:33:e6:4f,scan_185,2026-04-08 13:12:19,44.0,5220.0,-93.0,-93,1,48.89163857714259,8.6995002473608,7.0,2.2746308193257767,3.07742247248495,39.810717055349734
AGP Intern | 7c:5a:1c:33:f0:0b,AGP Intern,7c:5a:1c:33:f0:0b,scan_189,2026-04-08 13:12:39,11.0,2462.0,-66.0,-66,1,48.89149656003552,8.699653239922208,12.0,3.518418217974478,3.4106235406285195,5.011872336272722
AGP Intern | 7c:5a:1c:33:f0:13,AGP Intern,7c:5a:1c:33:f0:13,scan_165,2026-04-08 13:10:39,44.0,5220.0,-87.0,-87,1,48.891256674605046,8.699517101570683,17.0,4.798411059734762,3.5428394500532217,25.118864315095795
