network_id,ssid,bssid,scan_count,total_observations,mean_rssi,strongest_rssi,min_radius_m,max_radius_m,overlap_point_count
iPhone von Hamid | ba:64:14:af:40:f1,iPhone von Hamid,ba:64:14:af:40:f1,44,44,-43.43181818181818,-20,3.0,3.0,0
FRITZ!Box 6690 DB | 0c:72:74:04:89:24,FRITZ!Box 6690 DB,0c:72:74:04:89:24,17,17,-78.70588235294117,-56,3.0,42.986623470822764,0
FRITZ!Box 7530 BR | 04:b4:fe:da:34:b4,FRITZ!Box 7530 BR,04:b4:fe:da:34:b4,13,13,-74.53846153846153,-48,3.0,39.810717055349734,0
PANORAMA NEU LOKAL | 3e:a6:2f:33:11:18,PANORAMA NEU LOKAL,3e:a6:2f:33:11:18,13,13,-79.6923076923077,-63,3.9810717055349722,36.869450645195755,0
MagentaWLAN-QD6A | 6c:15:db:3f:ef:9f,MagentaWLAN-QD6A,6c:15:db:3f:ef:9f,12,12,-76.66666666666667,-57,3.0,39.810717055349734,0
FRITZ!Box 7530 BR_Ext_5G | a8:42:a1:2b:9e:c2,FRITZ!Box 7530 BR_Ext_5G,a8:42:a1:2b:9e:c2,12,12,-77.25,-54,3.0,34.14548873833603,0
FritzboxPFZ9 | dc:15:c8:30:59:6a,FritzboxPFZ9,dc:15:c8:30:59:6a,11,11,-77.18181818181819,-56,3.0,42.986623470822764,0
GR FRITZ!Box 7490 | 38:10:d5:c4:b7:3c,GR FRITZ!Box 7490,38:10:d5:c4:b7:3c,11,11,-81.63636363636364,-71,7.3564225445964135,39.810717055349734,0
YCafe | 30:68:93:66:65:1f,YCafe,30:68:93:66:65:1f,11,11,-82.81818181818181,-60,3.1622776601683795,42.986623470822764,0
Muessle-Event | 72:a7:41:9f:dd:82,Muessle-Event,72:a7:41:9f:dd:82,10,10,-76.9,-48,3.0,39.810717055349734,0
Vodafone-3ACC | 8c:6a:8d:8e:3a:d8,Vodafone-3ACC,8c:6a:8d:8e:3a:d8,10,10,-78.2,-64,4.298662347082277,36.869450645195755,0
FRITZ!Box 6690 NC | 60:b5:8d:d5:63:9a,FRITZ!Box 6690 NC,60:b5:8d:d5:63:9a,10,10,-80.3,-63,3.9810717055349722,42.986623470822764,0
FRITZ!Box 6660 Cable IO | 3c:37:12:b3:62:43,FRITZ!Box 6660 Cable IO,3c:37:12:b3:62:43,10,10,-81.7,-65,4.641588833612778,42.986623470822764,0
RaPOS-FUTARI | 98:ba:5f:84:92:33,RaPOS-FUTARI,98:ba:5f:84:92:33,10,10,-81.8,-64,4.298662347082277,39.810717055349734,0
iPhone von Hamid | 82:df:06:ac:c6:78,iPhone von Hamid,82:df:06:ac:c6:78,9,9,-34.666666666666664,-18,3.0,3.0,0
iPhone von Kadir | 1e:98:23:e1:68:4f,iPhone von Kadir,1e:98:23:e1:68:4f,9,9,-51.55555555555556,-28,3.0,9.261187281287935,0
ML-1989 | 70:a7:41:df:dd:82,ML-1989,70:a7:41:df:dd:82,9,9,-76.0,-48,3.0,39.810717055349734,0
HaugWeiser | 50:e6:36:0a:db:fd,HaugWeiser,50:e6:36:0a:db:fd,9,9,-79.11111111111111,-61,3.4145488738336014,39.810717055349734,0
FRITZ!Box 6591 Cable UY | 3c:a6:2f:33:11:18,FRITZ!Box 6591 Cable UY,3c:a6:2f:33:11:18,9,9,-79.22222222222223,-64,4.298662347082277,42.986623470822764,0
goldner_adler | 34:e1:a9:64:ca:e9,goldner_adler,34:e1:a9:64:ca:e9,9,9,-81.33333333333333,-54,3.0,39.810717055349734,0
HaugWeiser | 50:e6:36:0a:db:fe,HaugWeiser,50:e6:36:0a:db:fe,9,9,-81.77777777777777,-66,5.011872336272722,39.810717055349734,0
FRITZ!Box 6690 CI | b0:f2:08:b5:8b:48,FRITZ!Box 6690 CI,b0:f2:08:b5:8b:48,9,9,-81.88888888888889,-64,4.298662347082277,50.11872336272722,0
devolo_5G_EXT | f0:a7:31:a7:fb:7d,devolo_5G_EXT,f0:a7:31:a7:fb:7d,9,9,-82.0,-68,5.843414133735177,42.986623470822764,0
WiFi4EU | 48:4a:e9:da:74:d3,WiFi4EU,48:4a:e9:da:74:d3,9,9,-84.22222222222223,-74,9.261187281287935,31.622776601683793,0
FRITZ!Box 6690 AS | e0:08:55:ea:77:25,FRITZ!Box 6690 AS,e0:08:55:ea:77:25,9,9,-85.11111111111111,-72,7.943282347242816,34.14548873833603,0
PF-WLAN | 48:4a:e9:da:74:d1,PF-WLAN,48:4a:e9:da:74:d1,9,9,-85.22222222222223,-74,9.261187281287935,36.869450645195755,0
Ichweisnicht | 1c:ed:6f:00:7b:20,Ichweisnicht,1c:ed:6f:00:7b:20,9,9,-85.66666666666667,-76,10.7977516232771,42.986623470822764,0
Vodafone-56DF | 6c:63:9c:42:cb:b4,Vodafone-56DF,6c:63:9c:42:cb:b4,9,9,-86.22222222222223,-75,10.0,42.986623470822764,0
Vodafone-5283 | 70:54:25:6f:b4:9e,Vodafone-5283,70:54:25:6f:b4:9e,9,9,-87.55555555555556,-78,12.589254117941675,42.986623470822764,0
FRITZ!Box 7590 KF | b0:f2:08:17:1d:3a,FRITZ!Box 7590 KF,b0:f2:08:17:1d:3a,8,8,-73.5,-53,3.0,36.869450645195755,0
PF-WLAN | 48:4a:e9:d9:2d:d2,PF-WLAN,48:4a:e9:d9:2d:d2,8,8,-75.375,-53,3.0,34.14548873833603,0
Jetzt ein leckeres Eis Casal | 1c:0b:8b:0c:5b:8b,Jetzt ein leckeres Eis Casal,1c:0b:8b:0c:5b:8b,8,8,-80.25,-63,3.9810717055349722,39.810717055349734,0
BabaCut_Gastzugang | 06:b4:fe:08:37:a8,BabaCut_Gastzugang,06:b4:fe:08:37:a8,8,8,-81.375,-70,6.812920690579613,39.810717055349734,0
MagentaWLAN-ZSQ6 | 20:37:f0:1d:b3:cf,MagentaWLAN-ZSQ6,20:37:f0:1d:b3:cf,8,8,-82.5,-74,9.261187281287935,29.286445646252357,0
Vodafone-B244 | 80:da:c2:6b:b2:50,Vodafone-B244,80:da:c2:6b:b2:50,8,8,-83.875,-70,6.812920690579613,36.869450645195755,0
stadtpforzheim | 48:4a:e9:da:74:d0,stadtpforzheim,48:4a:e9:da:74:d0,8,8,-85.0,-69,6.309573444801933,36.869450645195755,0
BENSI | 70:54:25:66:d4:45,BENSI,70:54:25:66:d4:45,8,8,-85.625,-72,7.943282347242816,46.4158883361278,0
WLAN-930995 | ec:6c:9a:a6:75:2b,WLAN-930995,ec:6c:9a:a6:75:2b,8,8,-86.0,-74,9.261187281287935,46.4158883361278,0
iPhone von Kadir | 86:bb:25:ff:8b:e7,iPhone von Kadir,86:bb:25:ff:8b:e7,7,7,-34.857142857142854,-18,3.0,3.0,0
