scan_id,timestamp,actual_latitude,actual_longitude,raw_estimated_latitude,raw_estimated_longitude,estimated_latitude,estimated_longitude,matched_access_points,residual_rmse,snap_distance_m,error_m,method,raw_actual_latitude,raw_actual_longitude,matched_actual_latitude,matched_actual_longitude,gps_snap_distance_m,gps_road_type,matched_estimated_latitude,matched_estimated_longitude,wifi_snap_distance_m,wifi_road_type,seen_calibrated_aps,median_router_rmse_m,good_router_count,usable_router_count,weak_router_count,gps_jump_m,wifi_jump_m,is_outlier,outlier_reason
scan_04,2026-04-08 11:33:11,48.878608119717214,8.715648679771151,48.87865290659073,8.715609347332942,48.87865290659073,8.715609347332942,3,32.2658629304208,,5.757491403409537,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.878608119717214,8.715648679771151,48.878608119717214,8.715648679771151,,,48.87865290659073,8.715609347332942,,,5,1.9787682925729804,0,2,3,19.373190711870734,5.757490759345901,False,
scan_05,2026-04-08 11:33:34,48.87875390342473,8.715488070086685,48.878637231184996,8.715623113686316,48.878637231184996,8.715623113686316,3,17.009801096230763,,16.32271291704811,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.87875390342473,8.715488070086685,48.87875390342473,8.715488070086685,,,48.878637231184996,8.715623113686316,,,5,1.9787682925729804,0,1,4,20.04060264375384,2.0151216192390335,False,
scan_32,2026-04-08 12:10:02,48.889561259994316,8.698129831427709,48.88935021955241,8.698534397343554,48.88930685992822,8.698507550512073,6,20.751966016403596,5.211461302133706,39.577291727850444,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.88954060878895,8.698120571025353,48.889561259994316,8.698129831427709,2.396733227430534,pedestrian,48.88930685992822,8.698507550512073,5.211461302133706,pedestrian,17,8.972300230954039,2,6,9,30.689287311002893,17.775938533490496,False,
scan_57,2026-04-08 12:50:24,48.889369308617226,8.698274256425897,48.88958095727705,8.698312396287825,48.88962,8.698336,3,20.286912579660267,4.677025040590548,28.27052714417136,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.88934790508701,8.69826100407508,48.889369308617226,8.698274256425897,2.5725239040807475,pedestrian,48.88962,8.698336,4.677025040590548,pedestrian,5,0.4483258670965485,0,0,5,15.148703846637359,6.622566206560765,False,
scan_70,2026-04-08 12:52:18,48.88984432172875,8.698618965053404,48.88989111424489,8.69854651252192,48.88989154723173,8.698544731323858,3,36.62421785285432,0.13899742310562602,7.560422106331966,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.88983565543575,8.698616818788484,48.88984432172875,8.698618965053404,0.9774383287628854,path,48.88989154723173,8.698544731323858,0.13899742310562602,residential,10,13.26365345050495,1,5,4,1.6384021525181087,11.375425797979185,False,
scan_71,2026-04-08 12:52:28,48.889845668835385,8.698606383077527,48.88993958709163,8.698573059734,48.88993986853291,8.698571901955175,3,33.575784925051764,0.09034824751969066,10.785745520387474,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.88986302131982,8.69861068053691,48.889845668835385,8.698606383077527,1.9571209174730966,path,48.88993986853291,8.698571901955175,0.09034824751969066,residential,4,1.9803475251144815,0,2,2,0.9330532094901958,5.734982260939996,False,
scan_83,2026-04-08 12:54:16,48.89028769235611,8.69897007085136,48.89014997635604,8.699181096744393,48.89024210000001,8.6989644,3,42.7278207572849,18.88739015894688,5.092285192443605,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.8902915156664,8.698898967808262,48.89028769235611,8.69897007085136,5.2216355567655865,footway,48.89024210000001,8.6989644,18.88739015894688,footway,5,12.627999708732562,0,3,2,5.092285207868524,36.285659624164026,False,
scan_84,2026-04-08 12:54:26,48.8903836,8.698982,48.8903435585768,8.699084666132922,48.890349308422735,8.69897773475788,3,21.361959960016154,7.8527734656784505,3.8300825804124314,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.8904033326553,8.69891857812163,48.8903836,8.698982,5.135540153789502,footway,48.890349308422735,8.69897773475788,7.8527734656784505,footway,6,11.141007076044794,0,4,2,10.712082319525496,11.974284938255622,False,
scan_88,2026-04-08 12:55:02,48.89070306841534,8.69890558071162,48.89046940083454,8.69899365363613,48.8904674,8.6990427,3,21.361959960016154,3.5967519153403598,28.0887587667675,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.89070448719596,8.698895740749146,48.89070306841534,8.69890558071162,0.7373268418138726,pedestrian,48.8904674,8.6990427,3.5967519153403598,pedestrian,6,9.90424179691119,0,2,4,8.761823248224458,4.822711592151839,False,
scan_90,2026-04-08 12:55:21,48.89080505428266,8.698939455172072,48.890524275950995,8.69895385336566,48.890519928034074,8.699048293997585,4,42.20189569201838,6.9293069418371935,32.72466643273883,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.89079797256797,8.698988937297218,48.89080505428266,8.698939455172072,3.706525014596869,pedestrian,48.890519928034074,8.699048293997585,6.9293069418371935,pedestrian,7,1.8392407224353544,0,2,5,11.620642888434807,5.861737921172261,False,
scan_94,2026-04-08 12:55:48,48.89106230812182,8.699020931358175,48.89070821093543,8.699025721256834,48.8907284,8.6990732,5,39.76083570578479,4.13851309222278,37.36700400821903,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.89105861229604,8.699050924581883,48.89106230812182,8.699020931358175,2.2334868534572623,pedestrian,48.8907284,8.6990732,4.13851309222278,pedestrian,14,12.399639167342308,1,6,7,19.591124816409792,19.450056331476908,False,
scan_163,2026-04-08 13:10:26,48.8913043,8.6991979,48.891180095628776,8.699173283177645,48.89117918503037,8.699181951737021,3,37.797707161502096,0.6425151894652993,13.976627423458934,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.891283212173526,8.699240196601913,48.8913043,8.6991979,3.885163053009483,pedestrian,48.89117918503037,8.699181951737021,0.6425151894652993,pedestrian,6,14.395101858413527,1,3,2,28.164542683831787,9.132429103777666,False,
scan_164,2026-04-08 13:10:31,48.891331097473916,8.6992045044298,48.891277557112296,8.699222230819787,48.891279234423955,8.699206263413766,3,34.50867954604184,1.183504735755163,5.774829987199337,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.8913253402243,8.699258542131224,48.891331097473916,8.6992045044298,4.006701762836941,pedestrian,48.891279234423955,8.699206263413766,1.183504735755163,pedestrian,9,11.42577663401013,2,1,6,3.022005967331876,11.278749770178045,False,
scan_170,2026-04-08 13:11:04,48.89145776931464,8.699320501635484,48.89149946963664,8.699404068206244,48.8915506516429,8.699423275904074,3,29.512709126747414,5.868459161586839,12.786404866683604,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.891480680240704,8.699326167594434,48.89145776931464,8.699320501635484,2.58393926391263,pedestrian,48.8915506516429,8.699423275904074,5.868459161586839,pedestrian,5,6.127562795625457,0,2,3,0.9213017876430621,11.833587725727444,False,
scan_171,2026-04-08 13:11:07,48.89145763771787,8.699321732582822,48.891519595908065,8.69939715244712,48.891552864211626,8.699409637453869,3,33.99019466454014,3.814498367400544,12.400320772215156,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.89149956626963,8.699332101675385,48.89145763771787,8.699321732582822,4.728784446435631,pedestrian,48.891552864211626,8.699409637453869,3.814498367400544,pedestrian,5,7.4734253819369245,1,4,0,0.09127812103544444,1.028154862491993,False,
scan_172,2026-04-08 13:11:14,48.891560733788104,8.699361128756255,48.89153194846942,8.699397153992832,48.89155357286653,8.699405269248478,3,29.267425943661625,2.4794239032694105,3.327596122911056,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.89151701361737,8.699344721348918,48.891560733788104,8.699361128756255,5.012895224981521,pedestrian,48.89155357286653,8.699405269248478,2.4794239032694105,pedestrian,11,11.145125954304188,2,5,4,11.833340906058034,0.32930365401553197,False,
scan_173,2026-04-08 13:11:17,48.89156034491388,8.699363525808018,48.891461650621,8.699329726645772,48.89145690847251,8.699328553894754,3,31.219651930581588,0.5348288266080465,11.795613872269168,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.89152093218081,8.699348734905131,48.89156034491388,8.699363525808018,4.519010282144392,pedestrian,48.89145690847251,8.699328553894754,0.5348288266080465,pedestrian,4,9.463077145217438,2,1,1,0.18070528400208374,12.137521653937895,False,
scan_185,2026-04-08 13:12:19,48.891552312209924,8.699413040036388,48.89148713588666,8.699670464438078,48.891510406518925,8.69967876509212,3,10.408329997330663,2.660774909813998,20.00042145239382,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.89152512554714,8.699402837361259,48.891552312209924,8.699413040036388,3.117185713883943,pedestrian,48.891510406518925,8.69967876509212,2.660774909813998,pedestrian,7,5.4200565554475,0,1,6,2.158321442609128,8.419566023956996,False,
scan_187,2026-04-08 13:12:24,48.891542920678404,8.699470930186356,48.89152527177616,8.69951874099334,48.8915335,8.699529,3,24.04118528673991,1.1843990616533864,4.377680037306723,wknn_fingerprinting_smoothed_road_snapped_route_matched,48.89151631850272,8.699460946860098,48.891542920678404,8.699470930186356,3.0501692299960625,pedestrian,48.8915335,8.699529,1.1843990616533864,pedestrian,9,3.909582022478168,3,2,4,2.935591847282025,4.053329162853584,False,
