scan_id,timestamp,visible_networks,unique_ssids,mean_rssi,strongest_rssi,latitude,longitude,matched_access_points,residual_rmse,confidence_score
scan_01,2026-04-08 11:32:48,19,8,-87.26315789473684,-78,48.87857468932462,8.715884222781341,4.0,0.7427577504572096,4.0
scan_02,2026-04-08 11:32:54,12,5,-85.16666666666667,-70,,,,,
scan_03,2026-04-08 11:32:59,10,6,-88.4,-85,,,,,
scan_04,2026-04-08 11:33:11,14,9,-80.07142857142857,-63,48.87861666485961,8.715649833996656,5.0,1.8641569927116743,2.682177530942181
scan_05,2026-04-08 11:33:34,45,7,-80.93333333333334,-60,48.878722429894225,8.715537595039015,5.0,0.5254626385789318,5.0
scan_06,2026-04-08 11:33:44,21,6,-76.33333333333333,-67,,,,,
scan_07,2026-04-08 11:33:58,10,6,-87.1,-82,,,,,
scan_08,2026-04-08 11:34:21,20,9,-85.1,-77,,,,,
scan_09,2026-04-08 11:34:41,11,10,-89.0909090909091,-86,,,,,
scan_10,2026-04-08 11:34:44,2,2,-93.0,-93,,,,,
scan_11,2026-04-08 11:34:55,1,1,-91.0,-91,,,,,
scan_12,2026-04-08 11:35:00,2,2,-91.0,-89,,,,,
scan_13,2026-04-08 11:35:28,3,3,-89.66666666666667,-87,,,,,
scan_14,2026-04-08 11:35:48,3,3,-91.33333333333333,-86,,,,,
scan_15,2026-04-08 12:03:15,57,40,-83.36842105263158,-44,,,,,
scan_16,2026-04-08 12:04:01,40,22,-83.25,-61,48.88987866895415,8.69758287592063,12.0,18.86246620736564,0.6361840423239088
scan_17,2026-04-08 12:04:29,19,18,-80.26315789473684,-61,48.88965091651948,8.696147470226729,4.0,9.981489878372127,0.40074177790503923
scan_18,2026-04-08 12:04:35,6,6,-77.0,-36,,,,,
scan_19,2026-04-08 12:04:42,10,10,-81.1,-56,,,,,
scan_20,2026-04-08 12:06:02,23,21,-77.6086956521739,-56,48.88972309472445,8.696931065905009,6.0,10.698974073097602,0.5608014337642806
scan_21,2026-04-08 12:06:21,2,2,-88.0,-85,,,,,
scan_22,2026-04-08 12:06:30,23,19,-82.95652173913044,-43,48.88982331097485,8.697366928124257,8.0,7.8711798047365935,1.0163660592768935
scan_23,2026-04-08 12:06:36,12,12,-80.91666666666667,-65,48.889623040713886,8.697194454292278,6.0,29.61655890000841,0.202589369692044
scan_24,2026-04-08 12:06:43,4,4,-86.0,-73,,,,,
scan_25,2026-04-08 12:07:41,4,4,-88.25,-83,48.88961314898875,8.697119136659492,3.0,0.8257121738357873,3.0
scan_26,2026-04-08 12:08:02,20,20,-88.15,-80,48.88974415200318,8.697827167646993,13.0,15.957070692269074,0.8146858687727865
scan_27,2026-04-08 12:08:31,11,9,-88.81818181818181,-79,48.88968787517238,8.69781416224131,8.0,4.182687931479899,1.9126456792987367
scan_28,2026-04-08 12:08:37,5,5,-85.4,-74,48.88957321980477,8.697858407911843,4.0,11.129115248944222,0.3594176096235022
scan_29,2026-04-08 12:08:43,3,3,-80.66666666666667,-75,,,,,
scan_30,2026-04-08 12:09:15,5,5,-76.8,-45,48.88961224014092,8.697378310708839,5.0,5.346122162337724,0.9352573413349811
scan_31,2026-04-08 12:09:21,2,2,-85.5,-81,,,,,
scan_32,2026-04-08 12:10:02,25,22,-86.4,-69,48.88950003419333,8.698099301110638,17.0,7.048916155517088,2.4117182875972127
scan_33,2026-04-08 12:10:31,13,13,-85.3076923076923,-75,48.88966025945055,8.698059695931475,8.0,4.394810701586937,1.82032868835767
scan_34,2026-04-08 12:10:38,3,3,-80.0,-62,,,,,
scan_35,2026-04-08 12:10:43,4,4,-74.0,-53,48.889457086109395,8.698018897721044,3.0,1.226272609288015,2.4464380736203735
scan_36,2026-04-08 12:11:59,4,4,-71.0,-26,,,,,
scan_37,2026-04-08 12:12:31,2,2,-89.0,-87,,,,,
scan_38,2026-04-08 12:12:39,7,6,-89.0,-80,,,,,
scan_39,2026-04-08 12:12:44,1,1,-90.0,-90,,,,,
scan_40,2026-04-08 12:14:47,2,2,-84.0,-81,,,,,
scan_41,2026-04-08 12:14:54,1,1,-39.0,-39,,,,,
scan_42,2026-04-08 12:16:04,5,5,-74.8,-25,48.88968538471649,8.697828724301083,3.0,23.616925137612622,0.1270275441243687
scan_43,2026-04-08 12:16:21,5,5,-80.6,-74,48.88969876469806,8.698155156034064,4.0,3.257414488873448,1.2279677681986885
scan_44,2026-04-08 12:16:33,9,7,-78.11111111111111,-18,48.88963944477684,8.697856800757906,4.0,23.811876188730118,0.16798340325207778
scan_45,2026-04-08 12:16:41,1,1,-74.0,-74,,,,,
scan_46,2026-04-08 12:16:49,1,1,-87.0,-87,,,,,
scan_47,2026-04-08 12:18:50,3,3,-77.66666666666667,-69,,,,,
scan_48,2026-04-08 12:20:03,7,7,-88.14285714285714,-74,,,,,
scan_49,2026-04-08 12:20:37,2,2,-76.0,-60,,,,,
scan_50,2026-04-08 12:20:45,2,2,-86.0,-78,,,,,
scan_51,2026-04-08 12:20:53,2,2,-82.0,-77,,,,,
scan_52,2026-04-08 12:46:45,3,3,-73.0,-46,48.89003240628693,8.69804223343856,3.0,32.46184391110989,0.09241619201345695
scan_53,2026-04-08 12:46:54,2,2,-60.5,-37,,,,,
scan_54,2026-04-08 12:49:57,9,7,-85.66666666666667,-77,48.88989624777331,8.698571515914987,3.0,8.98291534232173,0.33396730189206236
scan_55,2026-04-08 12:50:06,19,19,-85.3157894736842,-65,48.88971148324005,8.698428532092871,8.0,9.82747454045668,0.8140443373388013
scan_56,2026-04-08 12:50:15,7,7,-84.14285714285714,-74,48.889528459280854,8.69762571170266,3.0,35.67616617948157,0.08408975294339194
scan_57,2026-04-08 12:50:24,15,12,-82.46666666666667,-64,48.889341331313176,8.698251847841052,5.0,5.644954910056563,0.8857466675406801
scan_58,2026-04-08 12:50:34,5,5,-85.0,-78,,,,,
scan_59,2026-04-08 12:50:43,14,10,-84.0,-78,48.889690633640775,8.698423218880016,8.0,6.173979342628648,1.2957607332378764
scan_60,2026-04-08 12:50:52,4,4,-79.25,-72,,,,,
scan_61,2026-04-08 12:51:01,4,4,-84.25,-75,,,,,
scan_62,2026-04-08 12:51:10,4,4,-77.75,-66,,,,,
scan_63,2026-04-08 12:51:18,4,4,-86.25,-80,,,,,
scan_64,2026-04-08 12:51:27,7,7,-87.42857142857143,-79,48.88985474091563,8.698848242866642,5.0,3.833612065584513,1.3042529902507616
scan_65,2026-04-08 12:51:36,9,8,-85.33333333333333,-76,48.889849200070024,8.698534816965735,4.0,14.24115847214824,0.28087602619006674
scan_66,2026-04-08 12:51:45,13,13,-84.3076923076923,-75,48.889819167909074,8.69858329868666,6.0,12.602538755949425,0.47609454858192846
scan_67,2026-04-08 12:51:54,12,12,-84.16666666666667,-71,48.89004342773556,8.698815872235285,10.0,15.00977955172491,0.6662323031153918
scan_68,2026-04-08 12:52:03,7,7,-82.42857142857143,-71,48.889892149196584,8.698913866840003,5.0,17.08985979759319,0.2925711538431792
scan_69,2026-04-08 12:52:12,16,16,-82.3125,-70,48.88995661907343,8.698791703096063,14.0,13.338367390223933,1.049603717637962
scan_70,2026-04-08 12:52:18,13,13,-88.0,-63,48.89015479140073,8.699050962773281,10.0,19.535399899087178,0.5118912359949829
scan_71,2026-04-08 12:52:28,4,4,-88.75,-86,48.88985444183628,8.698744713493957,4.0,5.615037167416226,0.7123728446913576
scan_72,2026-04-08 12:52:37,15,11,-81.6,-71,48.89011111554643,8.699152608111662,6.0,16.7981639610541,0.3571818928491691
scan_73,2026-04-08 12:52:46,17,15,-79.52941176470588,-59,48.89016039897436,8.699143695959505,12.0,22.738842910536395,0.5277313382748958
scan_74,2026-04-08 12:52:56,21,21,-82.95238095238095,-49,48.89018763656481,8.698817335710471,12.0,12.26080207430192,0.9787287917445019
scan_75,2026-04-08 12:53:04,34,32,-83.55882352941177,-54,48.8902920058005,8.699587263165922,29.0,27.009098222039654,1.0737122639783565
scan_76,2026-04-08 12:53:13,14,14,-87.64285714285714,-69,48.89018866572046,8.699339157638391,14.0,55.06637432667078,0.25423863784725803
scan_77,2026-04-08 12:53:22,9,9,-87.0,-70,48.8903782205401,8.699576430819489,7.0,10.534649432446393,0.6644739385859597
scan_78,2026-04-08 12:53:31,20,20,-80.9,-59,48.89024855769022,8.699370727742918,12.0,40.73174709434302,0.2946104907360236
scan_79,2026-04-08 12:53:40,9,8,-91.44444444444444,-80,,,,,
scan_80,2026-04-08 12:53:49,19,19,-86.0,-66,48.890171705855195,8.69911819603819,15.0,42.67158479379532,0.3515219805518234
