scan_id,network_id,timestamp,bssid,ssid,channel,frequency,rssi,latitude,longitude,accuracy_m
scan_01,AP-67437208-6d93-4d | 20:f4:1b:d1:1c:0a,2026-04-08 11:32:48,20:f4:1b:d1:1c:0a,AP-67437208-6d93-4d,36.0,5180.0,-81,48.87859698231721,8.715912761038608,12.088927268981934
scan_01,Raum T1 2.24 | 74:4c:a1:56:de:85,2026-04-08 11:32:48,74:4c:a1:56:de:85,Raum T1 2.24,36.0,5180.0,-91,48.87859698231721,8.715912761038608,12.088927268981934
scan_01,RSP | e0:91:f5:c4:df:91,2026-04-08 11:32:48,e0:91:f5:c4:df:91,RSP,11.0,2462.0,-78,48.87859698231721,8.715912761038608,12.088927268981934
scan_01,eduroam | f8:c6:50:3e:c4:ca,2026-04-08 11:32:48,f8:c6:50:3e:c4:ca,eduroam,132.0,5660.0,-91,48.87859698231721,8.715912761038608,12.088927268981934
scan_01,hsgast | f8:c6:50:3e:c4:cb,2026-04-08 11:32:48,f8:c6:50:3e:c4:cb,hsgast,132.0,5660.0,-93,48.87859698231721,8.715912761038608,12.088927268981934
scan_01,nao | f8:c6:50:3e:c4:cd,2026-04-08 11:32:48,f8:c6:50:3e:c4:cd,nao,132.0,5660.0,-92,48.87859698231721,8.715912761038608,12.088927268981934
scan_01,hsx | f8:c6:50:3e:c4:ce,2026-04-08 11:32:48,f8:c6:50:3e:c4:ce,hsx,132.0,5660.0,-93,48.87859698231721,8.715912761038608,12.088927268981934
scan_01,nao | f8:c6:50:3f:00:a2,2026-04-08 11:32:48,f8:c6:50:3f:00:a2,nao,1.0,2412.0,-89,48.87859698231721,8.715912761038608,12.088927268981934
scan_01,hsweb | f8:c6:50:3f:00:a3,2026-04-08 11:32:48,f8:c6:50:3f:00:a3,hsweb,1.0,2412.0,-89,48.87859698231721,8.715912761038608,12.088927268981934
scan_01,eduroam | f8:c6:50:3f:49:8a,2026-04-08 11:32:48,f8:c6:50:3f:49:8a,eduroam,64.0,5320.0,-82,48.87859698231721,8.715912761038608,12.088927268981934
scan_01,hsgast | f8:c6:50:3f:49:8b,2026-04-08 11:32:48,f8:c6:50:3f:49:8b,hsgast,64.0,5320.0,-83,48.87859698231721,8.715912761038608,12.088927268981934
scan_01,hsweb | f8:c6:50:3f:49:8c,2026-04-08 11:32:48,f8:c6:50:3f:49:8c,hsweb,64.0,5320.0,-82,48.87859698231721,8.715912761038608,12.088927268981934
scan_01,nao | f8:c6:50:3f:49:8d,2026-04-08 11:32:48,f8:c6:50:3f:49:8d,nao,64.0,5320.0,-82,48.87859698231721,8.715912761038608,12.088927268981934
scan_01,hsx | f8:c6:50:3f:49:8e,2026-04-08 11:32:48,f8:c6:50:3f:49:8e,hsx,64.0,5320.0,-83,48.87859698231721,8.715912761038608,12.088927268981934
scan_01,eduroam | f8:c6:50:3f:6a:2a,2026-04-08 11:32:48,f8:c6:50:3f:6a:2a,eduroam,52.0,5260.0,-91,48.87859698231721,8.715912761038608,12.088927268981934
