WigleWifi-1.6,appRelease=2.104,model=SM-A546B,release=16,device=a54x,display=BP2A.250605.031.A3.A546BXXSIEZB7,board=s5e8835,brand=samsung,star=Sol,body=3,subBody=0
MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
f8:c6:50:3f:49:82,nao,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],2026-03-25 13:38:22,1,2412,-86,48.87857398649249,8.716324094300486,421,17.5,,,WIFI
f8:c6:50:3f:6a:23,hsweb,[ESS],2026-03-25 13:38:22,6,2437,-90,48.87857398649249,8.716324094300486,421,17.5,,,WIFI
20:cc:27:39:76:41,hsx,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][ESS],2026-03-25 13:38:50,11,2462,-86,48.878493662250904,8.715899264967463,420,4.5,,,WIFI
20:cc:27:39:76:43,hsweb,[ESS],2026-03-25 13:38:50,11,2462,-86,48.878493662250904,8.715899264967463,420,4.5,,,WIFI
20:cc:27:39:76:42,nao,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],2026-03-25 13:38:50,11,2462,-86,48.878493662250904,8.715899264967463,420,4.5,,,WIFI
20:cc:27:39:76:45,eduroam,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][ESS],2026-03-25 13:38:50,11,2462,-90,48.878493662250904,8.715899264967463,420,4.5,,,WIFI
20:cc:27:39:76:44,hsgast,[ESS],2026-03-25 13:38:50,11,2462,-86,48.878493662250904,8.715899264967463,420,4.5,,,WIFI
1a:60:24:7a:ce:99,DIRECT-99-HP PageWide Pro 477dw,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2026-03-25 13:38:50,6,2437,-86,48.878493662250904,8.715899264967463,420,4.5,,,WIFI
20:cc:27:39:76:41,hsx,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][ESS],2026-03-25 13:38:59,11,2462,-76,48.878535553890885,8.715970028296542,419,4,,,WIFI
20:cc:27:39:76:43,hsweb,[ESS],2026-03-25 13:38:59,11,2462,-76,48.878535553890885,8.715970028296542,419,4,,,WIFI
20:cc:27:39:76:42,nao,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],2026-03-25 13:38:59,11,2462,-76,48.878535553890885,8.715970028296542,419,4,,,WIFI
20:cc:27:39:76:45,eduroam,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][ESS],2026-03-25 13:38:59,11,2462,-75,48.878535553890885,8.715970028296542,419,4,,,WIFI
20:cc:27:39:76:44,hsgast,[ESS],2026-03-25 13:38:59,11,2462,-76,48.878535553890885,8.715970028296542,419,4,,,WIFI
42:23:43:d8:10:2e,DIRECT-2e-HP M282 LaserJet,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS][WPS],2026-03-25 13:38:59,6,2437,-86,48.878535553890885,8.715970028296542,419,4,,,WIFI
20:cc:27:3b:1b:e5,eduroam,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][ESS],2026-03-25 13:38:59,1,2412,-90,48.878535553890885,8.715970028296542,419,4,,,WIFI
20:cc:27:3b:1b:e4,hsgast,[ESS],2026-03-25 13:38:59,1,2412,-90,48.878535553890885,8.715970028296542,419,4,,,WIFI
20:cc:27:3b:1b:e3,hsweb,[ESS],2026-03-25 13:38:59,1,2412,-90,48.878535553890885,8.715970028296542,419,4,,,WIFI
20:cc:27:3b:1b:e2,nao,[WPA2-PSK-CCMP-128][RSN-PSK-CCMP-128][ESS],2026-03-25 13:38:59,1,2412,-90,48.878535553890885,8.715970028296542,419,4,,,WIFI
20:cc:27:3b:1b:e1,hsx,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][ESS],2026-03-25 13:38:59,1,2412,-90,48.878535553890885,8.715970028296542,419,4,,,WIFI
f8:c6:50:3f:00:a5,eduroam,[WPA2-EAP/SHA1-CCMP-128][RSN-EAP/SHA1-CCMP-128][ESS],2026-03-25 13:38:59,1,2412,-86,48.878535553890885,8.715970028296542,419,4,,,WIFI
f8:c6:50:3f:00:a4,hsgast,[ESS],2026-03-25 13:38:59,1,2412,-86,48.878535553890885,8.715970028296542,419,4,,,WIFI
f8:c6:50:3f:00:a3,hsweb,[ESS],2026-03-25 13:38:59,1,2412,-86,48.878535553890885,8.715970028296542,419,4,,,WIFI
