WigleWifi-1.6,appRelease=2.104,model=M2101K6G,release=11,device=sweet,display=RKQ1.200826.002 test-keys,board=sweet,brand=Redmi,star=Sol,body=3,subBody=0
MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
79:e4:39:b9:a3:5f,,Uncategorized;10,2026-04-08 11:32:44,,7936,-91,48.8785786,8.71586954,429.95172119140625,12.129526138305664,,,BLE
4a:5d:b6:15:a5:50,,Uncategorized;10,2026-04-08 11:32:44,,7936,-95,48.8785786,8.71586954,429.95172119140625,12.129526138305664,,,BLE
55:7d:15:a2:7c:dd,,Uncategorized;10,2026-04-08 11:32:44,,7936,-97,48.8785786,8.71586954,429.95172119140625,12.129526138305664,,,BLE
56:53:07:d1:27:81,,Uncategorized;10,2026-04-08 11:32:44,,7936,-91,48.8785786,8.71586954,429.95172119140625,12.129526138305664,,,BLE
5d:d2:e7:83:a4:6c,,Uncategorized;10,2026-04-08 11:32:44,,7936,-90,48.8785786,8.71586954,429.95172119140625,12.129526138305664,,,BLE
4b:d0:ae:c7:eb:38,,Uncategorized;10,2026-04-08 11:32:44,,7936,-78,48.8785786,8.71586954,429.95172119140625,12.129526138305664,,,BLE
66:25:fb:5a:71:8f,,Uncategorized;10,2026-04-08 11:32:47,,7936,-92,48.878608698290755,8.715924890540734,427.65118408203125,12.692118644714355,,,BLE
77:8a:62:5a:ec:e6,,Uncategorized;10,2026-04-08 11:32:47,,7936,-89,48.878608698290755,8.715924890540734,427.65118408203125,12.692118644714355,,,BLE
4d:60:9f:a0:ce:36,,Uncategorized;10,2026-04-08 11:32:47,,7936,-60,48.878608698290755,8.715924890540734,427.65118408203125,12.692118644714355,,,BLE
e0:91:f5:c4:df:91,RSP,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2026-04-08 11:32:48,11,2462,-78,48.87859698231721,8.715912761038608,421.670166015625,12.088927268981934,,,WIFI
20:f4:1b:d1:1c:0a,AP-67437208-6d93-4d,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-04-08 11:32:48,36,5180,-81,48.87859698231721,8.715912761038608,421.670166015625,12.088927268981934,,,WIFI
f8:c6:50:3f:49:8a,eduroam,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],2026-04-08 11:32:48,64,5320,-82,48.87859698231721,8.715912761038608,421.670166015625,12.088927268981934,,,WIFI
f8:c6:50:3f:49:8c,hsweb,[ESS],2026-04-08 11:32:48,64,5320,-82,48.87859698231721,8.715912761038608,421.670166015625,12.088927268981934,,,WIFI
f8:c6:50:3f:49:8d,nao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-04-08 11:32:48,64,5320,-82,48.87859698231721,8.715912761038608,421.670166015625,12.088927268981934,,,WIFI
f8:c6:50:3f:49:8b,hsgast,[ESS],2026-04-08 11:32:48,64,5320,-83,48.87859698231721,8.715912761038608,421.670166015625,12.088927268981934,,,WIFI
f8:c6:50:3f:49:8e,hsx,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],2026-04-08 11:32:48,64,5320,-83,48.87859698231721,8.715912761038608,421.670166015625,12.088927268981934,,,WIFI
f8:c6:50:3f:00:a2,nao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-04-08 11:32:48,1,2412,-89,48.87859698231721,8.715912761038608,421.670166015625,12.088927268981934,,,WIFI
f8:c6:50:3f:00:a3,hsweb,[ESS],2026-04-08 11:32:48,1,2412,-89,48.87859698231721,8.715912761038608,421.670166015625,12.088927268981934,,,WIFI
f8:c6:50:3f:6a:2b,hsgast,[ESS],2026-04-08 11:32:48,52,5260,-89,48.87859698231721,8.715912761038608,421.670166015625,12.088927268981934,,,WIFI
f8:c6:50:3f:6a:2c,hsweb,[ESS],2026-04-08 11:32:48,52,5260,-89,48.87859698231721,8.715912761038608,421.670166015625,12.088927268981934,,,WIFI
f8:c6:50:3f:6a:2d,nao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-04-08 11:32:48,52,5260,-90,48.87859698231721,8.715912761038608,421.670166015625,12.088927268981934,,,WIFI
f8:c6:50:3f:6a:2e,hsx,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],2026-04-08 11:32:48,52,5260,-90,48.87859698231721,8.715912761038608,421.670166015625,12.088927268981934,,,WIFI
74:4c:a1:56:de:85,Raum T1 2.24,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-04-08 11:32:48,36,5180,-91,48.87859698231721,8.715912761038608,421.670166015625,12.088927268981934,,,WIFI
f8:c6:50:3f:6a:2a,eduroam,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],2026-04-08 11:32:48,52,5260,-91,48.87859698231721,8.715912761038608,421.670166015625,12.088927268981934,,,WIFI
f8:c6:50:3e:c4:ca,eduroam,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],2026-04-08 11:32:48,132,5660,-91,48.87859698231721,8.715912761038608,421.670166015625,12.088927268981934,,,WIFI
f8:c6:50:3e:c4:cd,nao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-04-08 11:32:48,132,5660,-92,48.87859698231721,8.715912761038608,421.670166015625,12.088927268981934,,,WIFI
f8:c6:50:3e:c4:cb,hsgast,[ESS],2026-04-08 11:32:48,132,5660,-93,48.87859698231721,8.715912761038608,421.670166015625,12.088927268981934,,,WIFI
f8:c6:50:3e:c4:ce,hsx,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],2026-04-08 11:32:48,132,5660,-93,48.87859698231721,8.715912761038608,421.670166015625,12.088927268981934,,,WIFI
79:88:91:dc:ee:92,,Uncategorized;10,2026-04-08 11:32:48,,7936,-93,48.87859698231721,8.715912761038608,421.670166015625,12.088927268981934,,,BLE
5f:99:ea:28:b4:18,,Uncategorized;10,2026-04-08 11:32:48,,7936,-75,48.87859698231721,8.715912761038608,421.670166015625,12.088927268981934,,,BLE
78:81:3f:83:a1:59,,Uncategorized;10,2026-04-08 11:32:48,,7936,-93,48.87859698231721,8.715912761038608,421.670166015625,12.088927268981934,,,BLE
62:bc:2e:78:93:eb,,Uncategorized;10,2026-04-08 11:32:48,,7936,-89,48.87859698231721,8.715912761038608,421.670166015625,12.088927268981934,,,BLE
70:da:99:c3:65:ae,,Uncategorized;10,2026-04-08 11:32:49,,7936,-99,48.87859337481653,8.715888749464462,434.341552734375,15.10584831237793,,,BLE
4f:24:44:cd:f3:13,,Uncategorized;10,2026-04-08 11:32:50,,7936,-83,48.87859258661097,8.715853009778602,433.438720703125,12.730659484863281,,,BLE
44:ee:14:0b:89:16,lime-930703542127,Uncategorized;10,2026-04-08 11:32:50,,7936,-97,48.87859258661097,8.715853009778602,433.438720703125,12.730659484863281,,,BLE
54:7b:8f:3b:56:e4,,Uncategorized;10,2026-04-08 11:32:51,,7936,-94,48.87859813060604,8.715823652414715,437.3502197265625,11.682048797607422,,,BLE
54:b3:28:6e:d5:84,4,Uncategorized;10,2026-04-08 11:32:51,,7936,-97,48.87859813060604,8.715823652414715,437.3502197265625,11.682048797607422,,,BLE
e0:91:f5:c4:df:91,RSP,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2026-04-08 11:32:54,11,2462,-70,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,WIFI
20:cc:27:39:76:45,eduroam,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],2026-04-08 11:32:54,11,2462,-83,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,WIFI
f8:c6:50:3f:49:84,hsgast,[ESS],2026-04-08 11:32:54,1,2412,-85,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,WIFI
f8:c6:50:3f:49:85,eduroam,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],2026-04-08 11:32:54,1,2412,-85,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,WIFI
f8:c6:50:42:19:c3,hsweb,[ESS],2026-04-08 11:32:54,1,2412,-87,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,WIFI
f8:c6:50:42:19:c4,hsgast,[ESS],2026-04-08 11:32:54,1,2412,-87,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,WIFI
f8:c6:50:42:19:c5,eduroam,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],2026-04-08 11:32:54,1,2412,-87,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,WIFI
f8:c6:50:3e:c4:c3,hsweb,[ESS],2026-04-08 11:32:54,1,2412,-87,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,WIFI
f8:c6:50:3e:c4:c4,hsgast,[ESS],2026-04-08 11:32:54,1,2412,-87,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,WIFI
f8:c6:50:3e:c4:cb,hsgast,[ESS],2026-04-08 11:32:54,132,5660,-88,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,WIFI
f8:c6:50:42:19:c2,nao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-04-08 11:32:54,1,2412,-88,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,WIFI
f8:c6:50:3e:c4:cc,hsweb,[ESS],2026-04-08 11:32:54,132,5660,-88,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,WIFI
5b:18:85:b3:7f:6e,,Uncategorized;10,2026-04-08 11:32:54,,7936,-91,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,BLE
7a:18:61:dc:0f:b8,,Uncategorized;10,2026-04-08 11:32:54,,7936,-83,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,BLE
7c:6f:a5:69:fd:c1,,Uncategorized;10,2026-04-08 11:32:54,,7936,-83,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,BLE
7a:fc:92:60:5f:a1,,Uncategorized;10,2026-04-08 11:32:54,,7936,-84,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,BLE
76:85:e8:de:8b:ed,,Uncategorized;10,2026-04-08 11:32:54,,7936,-90,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,BLE
76:fd:73:dc:9b:0f,,Uncategorized;10,2026-04-08 11:32:54,,7936,-92,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,BLE
60:6e:10:d2:9d:ea,,Uncategorized;10,2026-04-08 11:32:54,,7936,-83,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,BLE
57:8a:85:5b:54:4b,,Uncategorized;10,2026-04-08 11:32:54,,7936,-82,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,BLE
4c:9c:30:ea:79:00,,Uncategorized;10,2026-04-08 11:32:54,,7936,-98,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,BLE
7f:b0:3c:63:ce:9e,,Uncategorized;10,2026-04-08 11:32:54,,7936,-91,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,BLE
4e:ce:b1:5b:f7:42,,Uncategorized;10,2026-04-08 11:32:54,,7936,-95,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,BLE
6f:e9:ac:eb:3a:4b,,Uncategorized;10,2026-04-08 11:32:54,,7936,-86,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,BLE
64:12:4e:9e:8f:61,,Uncategorized;10,2026-04-08 11:32:54,,7936,-97,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,BLE
71:2a:02:44:e5:29,,Uncategorized;10,2026-04-08 11:32:54,,7936,-54,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,BLE
70:12:36:82:71:ce,,Uncategorized;10,2026-04-08 11:32:54,,7936,-95,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,BLE
77:a0:c5:be:27:11,,Uncategorized;10,2026-04-08 11:32:54,,7936,-88,48.87859222952685,8.715724689034694,430.2119140625,10.51175594329834,,,BLE
53:98:8a:00:0a:b9,K66PRO,Watch;10,2026-04-08 11:32:56,,1796,-89,48.87858851575231,8.715659640260416,433.4638671875,8.778615951538086,,,BLE
64:12:4e:9e:8f:61,,Uncategorized;10,2026-04-08 11:32:56,,7936,-85,48.87858851575231,8.715659640260416,433.4638671875,8.778615951538086,,,BLE
5e:36:f9:41:4d:ac,,Uncategorized;10,2026-04-08 11:32:56,,7936,-74,48.87858851575231,8.715659640260416,433.4638671875,8.778615951538086,,,BLE
50:6e:a0:a5:fc:bf,,Uncategorized;10,2026-04-08 11:32:56,,7936,-53,48.87858851575231,8.715659640260416,433.4638671875,8.778615951538086,,,BLE
71:2a:02:44:e5:29,,Uncategorized;10,2026-04-08 11:32:56,,7936,-49,48.87858851575231,8.715659640260416,433.4638671875,8.778615951538086,,,BLE
6e:b2:54:c7:28:68,,Uncategorized;10,2026-04-08 11:32:56,,7936,-78,48.87858851575231,8.715659640260416,433.4638671875,8.778615951538086,,,BLE
47:56:a4:49:9b:3b,,Uncategorized;10,2026-04-08 11:32:56,,7936,-92,48.87858851575231,8.715659640260416,433.4638671875,8.778615951538086,,,BLE
5e:b8:7d:c6:49:7f,,Uncategorized;10,2026-04-08 11:32:56,,7936,-93,48.87858851575231,8.715659640260416,433.4638671875,8.778615951538086,,,BLE
70:de:c6:08:60:1d,,Uncategorized;10,2026-04-08 11:32:56,,7936,-84,48.87858851575231,8.715659640260416,433.4638671875,8.778615951538086,,,BLE
68:1c:73:a2:a3:ec,,Uncategorized;10,2026-04-08 11:32:58,,7936,-98,48.87858351827033,8.71563558300451,436.144775390625,8.006282806396484,,,BLE
4d:60:9f:a0:ce:36,,Uncategorized;10,2026-04-08 11:32:58,,7936,-54,48.87858351827033,8.71563558300451,436.144775390625,8.006282806396484,,,BLE
7a:18:61:dc:0f:b8,,Uncategorized;10,2026-04-08 11:32:58,,7936,-75,48.87858351827033,8.71563558300451,436.144775390625,8.006282806396484,,,BLE
54:0c:af:3c:95:5d,,Uncategorized;10,2026-04-08 11:32:58,,7936,-96,48.87858351827033,8.71563558300451,436.144775390625,8.006282806396484,,,BLE
55:84:24:e6:c4:38,,Uncategorized;10,2026-04-08 11:32:58,,7936,-92,48.87858351827033,8.71563558300451,436.144775390625,8.006282806396484,,,BLE
5d:d2:e7:83:a4:6c,,Uncategorized;10,2026-04-08 11:32:58,,7936,-85,48.87858351827033,8.71563558300451,436.144775390625,8.006282806396484,,,BLE
6c:0b:e7:29:95:f0,,Uncategorized;10,2026-04-08 11:32:58,,7936,-91,48.87858351827033,8.71563558300451,436.144775390625,8.006282806396484,,,BLE
71:35:c2:f2:83:87,,Uncategorized;10,2026-04-08 11:32:58,,7936,-85,48.87858351827033,8.71563558300451,436.144775390625,8.006282806396484,,,BLE
f8:c6:50:42:19:c1,hsx,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],2026-04-08 11:32:59,1,2412,-85,48.87857945658125,8.715631235402675,438.0015869140625,7.650904655456543,,,WIFI
f8:c6:50:3f:6a:24,hsgast,[ESS],2026-04-08 11:32:59,6,2437,-87,48.87857945658125,8.715631235402675,438.0015869140625,7.650904655456543,,,WIFI
f8:c6:50:3f:6a:21,hsx,[WPA2-EAP-CCMP][RSN-EAP-CCMP][ESS],2026-04-08 11:32:59,6,2437,-88,48.87857945658125,8.715631235402675,438.0015869140625,7.650904655456543,,,WIFI
f8:c6:50:3f:6a:22,nao,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-04-08 11:32:59,6,2437,-88,48.87857945658125,8.715631235402675,438.0015869140625,7.650904655456543,,,WIFI
f8:c6:50:3f:a2:24,hsgast,[ESS],2026-04-08 11:32:59,11,2462,-88,48.87857945658125,8.715631235402675,438.0015869140625,7.650904655456543,,,WIFI
